product_detail,Predicted Demand,Safety Stock,Reorder Point
Morning Sunrise Chai Rg,246.8061960611009,49.361239212220184,542.973631334422
Dark chocolate Lg,242.04520846915406,48.409041693830815,532.499458632139
Earl Grey Rg,238.98457358861685,47.796914717723375,525.766061894957
Columbian Medium Roast Rg,236.85913269935486,47.37182653987097,521.0900919385807
Latte,231.8430922006966,46.36861844013932,510.0548028415325
Latte Rg,231.16295111613275,46.23259022322655,508.55849245549206
Our Old Time Diner Blend Sm,225.97687534633354,45.19537506926671,497.1491257619338
Peppermint Rg,225.89185771076305,45.17837154215261,496.9620869636787
Serenity Green Tea Rg,223.34132864364867,44.668265728729736,491.3509230160271
Traditional Blend Chai Rg,222.23609938123246,44.44721987624649,488.9194186387114
